instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Cluster,season_group,weather_group,day_type,rental_group,weekly_avg
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0,Spring,Moderate,Weekend/Holiday,Low,
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,0,Spring,Moderate,Weekend/Holiday,Low,
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0,Spring,Good,Workday,Low,
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0,Spring,Good,Workday,Low,
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0,Spring,Good,Workday,Low,
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0,Spring,Good,Workday,Low,
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0,Spring,Moderate,Workday,Low,1344.7142857142858
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,0,Spring,Moderate,Weekend/Holiday,Low,1341.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,0,Spring,Good,Weekend/Holiday,Low,1344.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0,Spring,Good,Workday,Low,1340.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0,Spring,Moderate,Workday,Low,1297.2857142857142
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0,Spring,Good,Workday,Low,1234.7142857142858
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,0,Spring,Good,Workday,Low,1206.142857142857
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0,Spring,Good,Workday,Low,1193.4285714285713
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0,Spring,Moderate,Weekend/Holiday,Low,1234.7142857142858
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,0,Spring,Good,Weekend/Holiday,Low,1289.2857142857142
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,0,Spring,Moderate,Weekend/Holiday,Low,1243.4285714285713
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,0,Spring,Moderate,Workday,Low,1160.5714285714287
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0,Spring,Moderate,Workday,Low,1230.2857142857142
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0,Spring,Moderate,Workday,Low,1304.7142857142858
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0,Spring,Good,Workday,Low,1322.142857142857
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,0,Spring,Good,Weekend/Holiday,Low,1284.0
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0,Spring,Good,Weekend/Holiday,Low,1252.857142857143
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0,Spring,Good,Workday,Low,1312.2857142857142
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0,Spring,Moderate,Workday,Low,1498.2857142857142
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,0,Spring,Bad,Workday,Low,1334.857142857143
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,0,Spring,Good,Workday,Low,1121.142857142857
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0,Spring,Moderate,Workday,Low,1067.4285714285713
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,0,Spring,Good,Weekend/Holiday,Low,1084.142857142857
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0,Spring,Good,Weekend/Holiday,Low,1099.857142857143
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0,Spring,Moderate,Workday,Low,1112.0
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0,Spring,Moderate,Workday,Low,1022.7142857142857
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,0,Spring,Moderate,Workday,Low,1168.4285714285713
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0,Spring,Good,Workday,Low,1328.2857142857142
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0,Spring,Moderate,Workday,Low,1405.5714285714287
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,0,Spring,Moderate,Weekend/Holiday,Low,1392.2857142857142
